,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Total Regions
0007 Bishop Grosseteste University Estimated Incoming Inf,0.002,0.0075,0.081,0.15,0.009,0.040999999999999995,0.001,0.003,0.002,0.2965
0049 The University of Bolton Estimated Incoming Inf,0.007000000000000001,1.5704999999999998,0.084,0.011000000000000001,0.0375,0.014000000000000002,0.0075,0.0075,0.013000000000000001,1.7519999999999996
0197 The Arts University Bournemouth Estimated Incoming Inf,0.003,0.013499999999999998,0.007000000000000001,0.0085,0.039,0.045,0.036000000000000004,0.09700000000000002,0.163,0.41200000000000003
0050 Bournemouth University Estimated Incoming Inf,0.006,0.0375,0.018000000000000002,0.020499999999999997,0.10949999999999999,0.195,0.166,0.5255000000000001,1.04,2.1180000000000003
0111 The University of Bradford Estimated Incoming Inf,0.016,0.2955,1.149,0.0155,0.045,0.021,0.0175,0.011000000000000001,0.01,1.5805
0051 The University of Brighton Estimated Incoming Inf,0.032,0.0705,0.043,0.039,0.10949999999999999,0.341,0.3105,0.953,0.235,2.1334999999999997
0337 The University College of Osteopathy Estimated Incoming Inf,0.0,0.0015,0.001,0.001,0.003,0.01,0.0215,0.009500000000000001,0.002,0.0495
0112 The University of Bristol Estimated Incoming Inf,0.044000000000000004,0.2925,0.113,0.0725,0.345,0.29,0.3625,0.41200000000000003,0.882,2.8135
0113 Brunel University London Estimated Incoming Inf,0.005,0.036,0.015,0.014000000000000002,0.058499999999999996,0.16699999999999998,0.6575,0.166,0.054000000000000006,1.173
0009 Buckinghamshire New University Estimated Incoming Inf,0.012,0.1485,0.043,0.032,0.23399999999999999,0.22,0.35800000000000004,0.3075,0.064,1.419
0203 The University of Buckingham Estimated Incoming Inf,0.003,0.015,0.011000000000000001,0.013000000000000001,0.039,0.07100000000000001,0.047,0.079,0.022000000000000002,0.30000000000000004
0114 The University of Cambridge Estimated Incoming Inf,0.065,0.2625,0.14200000000000002,0.0675,0.2025,0.518,0.322,0.254,0.185,2.0185
0188 The Institute of Cancer Research Estimated Incoming Inf,0.0,0.0015,0.0,0.0005,0.0,0.003,0.014000000000000002,0.0045000000000000005,0.001,0.0245
0012 Canterbury Christ Church University Estimated Incoming Inf,0.005,0.024,0.01,0.01,0.024,0.221,0.27,0.8955,0.028999999999999998,1.4884999999999997
0179 Cardiff University Estimated Incoming Inf,0.018000000000000002,0.1845,0.059000000000000004,0.05,0.47100000000000003,0.145,0.1295,0.30400000000000005,0.855,2.216
0089 Cardiff Metropolitan University Estimated Incoming Inf,0.005,0.045,0.016,0.011500000000000002,0.1425,0.03,0.013500000000000002,0.05,0.298,0.6114999999999999
0053 The University of Central Lancashire Estimated Incoming Inf,0.045,4.7625,0.182,0.0325,0.1425,0.057999999999999996,0.035500000000000004,0.033,0.042,5.333
