,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0143 The Royal Veterinary College Estimated Incoming Infection,0.09300000000000001,0.39,0.19,0.06899999999999999,0.05600000000000001,0.195,0.608,0.16399999999999998,0.07400000000000001,0.05399999999999999,0.007000000000000001,1.9000000000000001
0173 The University of St Andrews Estimated Incoming Infection,0.3875,1.2480000000000002,0.42,0.105,0.098,0.18,0.912,0.22,0.07,0.0675,0.561,4.269
"0145 St George's, University of London Estimated Incoming Infection",0.0775,0.33149999999999996,0.1,0.042,0.07350000000000001,0.162,4.845,0.366,0.052000000000000005,0.0405,0.003,6.092999999999999
0194 St Mary's University College Estimated Incoming Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"0039 St Mary's University, Twickenham Estimated Incoming Infection",0.124,0.2535,0.11,0.036,0.045500000000000006,0.243,4.845,0.494,0.07,0.036,0.004,6.260999999999999
0158 The University of Salford Estimated Incoming Infection,0.9455,54.6,2.41,0.348,0.45500000000000007,0.141,0.475,0.13,0.07400000000000001,0.3015,0.013000000000000001,59.893
0146 SOAS University of London Estimated Incoming Infection,0.0775,0.2535,0.1,0.033,0.05250000000000001,0.12299999999999998,3.306,0.138,0.05,0.0315,0.006,4.171000000000001
0175 SRUC Estimated Incoming Infection,0.0155,0.019500000000000003,0.0,0.0,0.0,0.003,0.0095,0.0,0.002,0.0,0.274,0.3235
0075 Sheffield Hallam University Estimated Incoming Infection,1.736,10.783500000000002,26.06,3.606,0.9590000000000001,0.648,0.9025,0.264,0.146,0.153,0.015,45.273
0159 The University of Sheffield Estimated Incoming Infection,1.829,10.452,10.0,1.587,1.0185000000000002,1.041,2.7645,0.7240000000000001,0.33799999999999997,0.26099999999999995,0.019000000000000003,30.034
0037 Solent University Estimated Incoming Infection,0.09300000000000001,0.39,0.16,0.111,0.15750000000000003,0.37799999999999995,1.4915,1.73,0.5780000000000001,0.11699999999999999,0.008,5.214
0160 The University of Southampton Estimated Incoming Infection,0.2325,0.9945,0.35,0.21,0.4200000000000001,0.825,5.358,2.8040000000000003,0.9460000000000001,0.36449999999999994,0.014000000000000002,12.518499999999998
0077 Staffordshire University Estimated Incoming Infection,0.217,6.006,0.57,0.408,4.886,0.21,0.5605,0.17800000000000002,0.10400000000000001,0.225,0.004,13.368500000000001
0174 The University of Stirling Estimated Incoming Infection,0.465,0.6045,0.18,0.039,0.0245,0.048,0.209,0.052000000000000005,0.028000000000000004,0.026999999999999996,1.579,3.2560000000000002
0014 University of St Mark and St John Estimated Incoming Infection,0.0155,0.15600000000000003,0.07,0.024,0.038500000000000006,0.039,0.2565,0.078,0.812,0.063,0.001,1.5535
0193 Stranmillis University College Estimated Incoming Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0095
0169 The University of Strathclyde Estimated Incoming Infection,0.18600000000000003,0.5655,0.15,0.026999999999999996,0.038500000000000006,0.057,0.209,0.048,0.024,0.0315,3.28,4.6165
0210 University of Suffolk Estimated Incoming Infection,0.031,0.0975,0.05,0.036,0.0175,2.637,3.4295,0.068,0.014000000000000002,0.0045,0.0,6.385
0078 The University of Sunderland Estimated Incoming Infection,25.11,0.5655,0.58,0.048,0.035,0.165,4.655,0.07,0.014000000000000002,0.013499999999999998,0.009000000000000001,31.265
0161 The University of Surrey Estimated Incoming Infection,0.20149999999999998,0.78,0.26,0.135,0.17850000000000002,0.546,5.7,2.064,0.29400000000000004,0.1485,0.01,10.317499999999999
0162 The University of Sussex Estimated Incoming Infection,0.18600000000000003,0.6045,0.25,0.126,0.17850000000000002,0.747,6.497999999999999,2.34,0.37800000000000006,0.126,0.008,11.441999999999998
0180 Swansea University Estimated Incoming Infection,0.09300000000000001,1.4625,0.31,0.198,0.6405000000000001,0.33,1.8525,0.778,0.83,8.28,0.006,14.7805
0079 Teesside University Estimated Incoming Infection,38.1455,1.5015,3.0,0.114,0.11200000000000002,0.10799999999999998,0.38,0.07400000000000001,0.034,0.0765,0.014000000000000002,43.55950000000001
0041 Trinity Laban Conservatoire of Music and Dance Estimated Incoming Infection,0.04650000000000001,0.17550000000000002,0.08,0.03,0.028000000000000004,0.057,0.4275,0.07400000000000001,0.038000000000000006,0.018,0.007000000000000001,0.9815000000000002
0176 University of Wales Trinity Saint David Estimated Incoming Infection,0.04650000000000001,0.2145,0.08,0.03,0.7070000000000001,0.096,2.128,0.09200000000000001,0.07200000000000001,6.156000000000001,0.002,9.624000000000002
0196 University of the Highlands and Islands Estimated Incoming Infection,0.0155,0.1365,0.04,0.006,0.0105,0.012,0.057,0.012,0.016,0.013499999999999998,1.791,2.11
0185 Ulster University Estimated Incoming Infection,0.0775,0.2535,0.06,0.015,0.0315,0.021,0.5415,0.018000000000000002,0.012,0.009,0.007000000000000001,1.0459999999999996
0149 University College London Estimated Incoming Infection,0.527,2.5935,0.85,0.309,0.4445,1.242,21.5935,1.264,0.402,0.27899999999999997,0.039,29.5435
0090 University of South Wales Estimated Incoming Infection,0.155,0.7215,0.27,0.105,0.3185,0.129,0.4465,0.234,0.55,13.5405,0.011000000000000001,16.480999999999998
0186 The University of Wales (central functions) Estimated Incoming Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0163 The University of Warwick Estimated Incoming Infection,0.4805,2.8275,1.03,0.693,2.4045,0.951,6.5835,1.034,0.39399999999999996,0.3285,0.025,16.7515
"0081 University of the West of England, Bristol Estimated Incoming Infection",0.2635,1.3065,0.45,0.252,0.9275000000000001,0.39299999999999996,1.995,1.3359999999999999,5.87,2.052,0.013000000000000001,14.8585
0105 The University of the West of Scotland Estimated Incoming Infection,0.0775,0.117,0.04,0.012,0.014000000000000002,0.021,0.589,0.016,0.01,0.009,2.8710000000000004,3.7765000000000004
0080 The University of West London Estimated Incoming Infection,0.155,0.4485,0.19,0.09,0.11900000000000001,0.294,10.184,0.8340000000000001,0.106,0.0765,0.007000000000000001,12.503999999999998
0083 The University of Westminster Estimated Incoming Infection,0.18600000000000003,0.7605,0.24,0.105,0.1505,0.606,16.5205,0.532,0.1,0.058499999999999996,0.005,19.263999999999996
0021 The University of Winchester Estimated Incoming Infection,0.0775,0.2145,0.11,0.078,0.10850000000000001,0.27,0.7885,1.756,0.55,0.063,0.002,4.018
0085 The University of Wolverhampton Estimated Incoming Infection,0.3875,1.092,0.37,0.38699999999999996,10.335500000000001,0.147,1.1115000000000002,0.136,0.132,0.1125,0.008,14.219000000000001
0046 University of Worcester Estimated Incoming Infection,0.09300000000000001,0.5265,0.19,0.153,4.354,0.15,0.48450000000000004,0.17600000000000002,0.502,0.3195,0.004,6.952499999999999
0189 Writtle University College Estimated Incoming Infection,0.0,0.03900000000000001,0.03,0.009,0.014000000000000002,0.243,0.1235,0.042,0.01,0.0045,0.001,0.516
0013 York St John University Estimated Incoming Infection,3.3635,2.3985,6.59,0.291,0.11200000000000002,0.141,0.114,0.04,0.024,0.045,0.006,13.125
0164 The University of York Estimated Incoming Infection,2.8675,6.747000000000001,6.94,0.726,0.5985,1.002,2.565,0.71,0.24600000000000002,0.2205,0.026000000000000002,22.648500000000002
Total Estimated Incoming Infection,186.27900000000002,677.6055,236.76,62.772,102.64450000000001,82.77600000000001,563.1505000000001,87.87200000000001,47.784000000000006,79.713,29.187,2156.5435
