,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Total Regions
0089 Cardiff Metropolitan University Estimated Incoming Antibody Pos,1.075,9.15,2.8,4.255,25.175,6.9,16.605,17.5,35.76,,119.22
0053 The University of Central Lancashire Estimated Incoming Antibody Pos,9.675,968.375,31.85,12.025,25.175,13.34,43.665,11.55,5.04,,1120.695
0011 University of Chester Estimated Incoming Antibody Pos,6.45,423.645,17.675,13.32,91.955,11.27,25.83,9.975,4.8,,604.92
0082 The University of Chichester Estimated Incoming Antibody Pos,0.86,3.66,1.75,5.365,6.095,13.34,38.13,125.65,8.4,,203.25
"0115 City, University of London Estimated Incoming Antibody Pos",1.505,9.76,2.8,5.365,9.01,47.38,1110.69,36.925,4.92,,1228.3550000000002
0199 Conservatoire for Dance and Drama Estimated Incoming Antibody Pos,1.505,3.965,2.8,1.665,2.65,3.68,28.905,5.95,2.4,,53.52
0201 Courtauld Institute of Art Estimated Incoming Antibody Pos,0.0,0.915,0.175,0.37,0.53,1.15,15.375,1.75,0.84,,21.105
0056 Coventry University Estimated Incoming Antibody Pos,4.085,29.28,26.425,73.26,535.565,68.77,507.375,65.275,13.92,,1323.9550000000002
0002 Cranfield University Estimated Incoming Antibody Pos,1.29,7.32,2.625,5.18,7.95,15.179999999999998,40.59,18.9,14.28,,113.315
0206 University for the Creative Arts Estimated Incoming Antibody Pos,0.645,4.575,2.275,3.7,6.89,15.639999999999997,108.24,68.075,4.68,,214.72
0038 University of Cumbria Estimated Incoming Antibody Pos,16.34,232.105,10.675,4.81,5.3,4.829999999999999,68.265,4.025,2.28,,348.63
0068 De Montfort University Estimated Incoming Antibody Pos,4.945,33.855,20.475,281.2,137.005,82.11,295.815,44.45,9.0,,908.855
0057 University of Derby Estimated Incoming Antibody Pos,4.945,30.805,32.9,316.72,137.8,34.959999999999994,46.74,17.675,6.12,,628.6650000000001
0172 The University of Dundee Estimated Incoming Antibody Pos,6.235,12.505,3.675,2.59,3.71,5.06,19.065,5.25,1.44,,59.53
0116 University of Durham Estimated Incoming Antibody Pos,85.57,75.335,39.725,24.79,34.185,60.94999999999999,223.86,78.75,18.6,,641.765
0117 The University of East Anglia Estimated Incoming Antibody Pos,4.945,14.03,10.15,24.605,15.635,352.59,236.775,63.7,9.36,,731.7900000000001
0058 The University of East London Estimated Incoming Antibody Pos,1.505,8.845,3.15,5.18,8.215,50.37,1038.12,24.85,3.84,,1144.0749999999998
0016 Edge Hill University Estimated Incoming Antibody Pos,4.945,643.8549999999999,14.875,7.585,21.995,5.29,9.84,4.725,2.16,,715.27
0107 Edinburgh Napier University Estimated Incoming Antibody Pos,5.805,4.88,2.1,1.295,1.855,1.84,6.15,1.75,0.84,,26.514999999999997
0167 The University of Edinburgh Estimated Incoming Antibody Pos,20.21,58.56,27.65,15.91,18.55,36.339999999999996,242.925,56.175,19.8,,496.12000000000006
0118 The University of Essex Estimated Incoming Antibody Pos,2.15,9.76,4.9,9.25,13.78,194.35,448.335,44.975,7.32,,734.82
0119 The University of Exeter Estimated Incoming Antibody Pos,3.01,22.875,9.1,17.945,53.795,70.83999999999999,287.82,156.975,137.52,,759.8799999999999
0017 Falmouth University Estimated Incoming Antibody Pos,1.72,11.59,4.2,8.14,20.935,20.93,75.03,37.275,48.0,,227.82000000000002
0229 The National Film and Television School Estimated Incoming Antibody Pos,0.0,0.305,0.175,0.37,0.53,0.69,10.455,1.225,0.24,,13.99
0106 Glasgow Caledonian University Estimated Incoming Antibody Pos,0.86,3.66,1.225,0.74,1.325,2.07,14.145,2.45,0.84,,27.314999999999998
0097 Glasgow School of Art Estimated Incoming Antibody Pos,1.29,3.965,1.75,0.925,1.06,2.07,15.375,2.45,1.08,,29.964999999999996
0168 The University of Glasgow Estimated Incoming Antibody Pos,15.05,38.125,11.55,5.18,8.48,13.11,65.805,15.925,5.4,,178.62500000000003
0054 University of Gloucestershire Estimated Incoming Antibody Pos,1.29,7.625,3.325,9.25,51.41,16.33,29.52,28.175,97.92,,244.84500000000003
0087 Glyndŵr University Estimated Incoming Antibody Pos,0.43,33.855,0.875,0.74,21.2,1.15,7.995,0.7,0.48,,67.425
0131 Goldsmiths College Estimated Incoming Antibody Pos,2.365,12.505,4.55,5.92,10.335,24.84,596.55,31.15,9.36,,697.5749999999999
0336 Gower College Swansea Estimated Incoming Antibody Pos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0059 The University of Greenwich Estimated Incoming Antibody Pos,1.935,7.015,4.375,6.105,7.155,55.2,1030.74,103.775,5.76,,1222.0600000000002
0208 Guildhall School of Music and Drama Estimated Incoming Antibody Pos,0.215,1.83,1.575,0.925,1.325,4.14,30.75,4.725,1.32,,46.805
0018 Harper Adams University Estimated Incoming Antibody Pos,4.945,22.57,13.825,21.46,33.39,27.14,14.145,19.6,12.36,,169.435
0352 Hartpury University Estimated Incoming Antibody Pos,0.645,2.44,1.225,2.775,12.72,3.68,7.38,9.1,14.4,,54.365
0171 Heriot-Watt University Estimated Incoming Antibody Pos,6.235,13.115,4.375,2.22,3.445,6.44,19.68,5.95,1.56,,63.02
0060 University of Hertfordshire Estimated Incoming Antibody Pos,3.01,12.2,5.25,18.87,16.165,362.48,861.0,67.375,7.68,,1354.03
0061 The University of Huddersfield Estimated Incoming Antibody Pos,7.525,142.435,333.2,12.95,12.72,9.889999999999999,22.755,6.125,1.68,,549.28
0120 The University of Hull Estimated Incoming Antibody Pos,18.705,47.275,322.175,34.965,18.285,25.07,68.265,15.4,3.36,,553.5
"0132 Imperial College of Science, Technology and Medicine Estimated Incoming Antibody Pos",5.59,28.975,10.85,11.655,21.465,38.41,455.715,55.825,11.88,,640.3649999999999
0121 Keele University Estimated Incoming Antibody Pos,5.16,84.18,15.225,22.385,232.935,26.45,104.55,25.55,7.8,,524.235
0122 The University of Kent Estimated Incoming Antibody Pos,2.58,12.2,4.9,12.025,14.84,96.83,587.325,191.8,10.68,,933.18
0134 King's College London Estimated Incoming Antibody Pos,8.17,35.685,14.0,17.39,33.92,78.88999999999999,1325.94,114.45,23.04,,1651.4850000000001
0063 Kingston University Estimated Incoming Antibody Pos,4.085,11.285,5.775,6.475,10.6,32.199999999999996,1012.29,97.125,12.84,,1192.6749999999997
0123 The University of Lancaster Estimated Incoming Antibody Pos,11.395,266.57,29.05,15.17,34.185,23.23,70.725,24.5,7.56,,482.38499999999993
0211 Leeds Arts University Estimated Incoming Antibody Pos,4.945,19.825,18.9,4.995,3.71,5.75,13.53,4.375,1.44,,77.47
0064 Leeds Beckett University Estimated Incoming Antibody Pos,57.405,220.21,364.525,59.015,36.835,40.94,64.575,23.975,9.48,,876.96
0351 Leeds College of Music Estimated Incoming Antibody Pos,1.935,9.455,9.8,4.07,3.975,4.829999999999999,11.685,3.675,1.56,,50.985
0124 The University of Leeds Estimated Incoming Antibody Pos,49.02,251.32,244.475,72.705,76.585,97.98,351.165,92.925,24.6,,1260.7749999999999
0040 Leeds Trinity University Estimated Incoming Antibody Pos,7.525,20.435,80.325,6.105,3.71,5.29,5.535,2.275,0.84,,132.04000000000002
0125 The University of Leicester Estimated Incoming Antibody Pos,6.02,36.295,20.3,111.37,76.055,60.029999999999994,279.21,46.375,9.6,,645.255
0062 The University of Lincoln Estimated Incoming Antibody Pos,9.245,30.5,89.075,200.725,33.92,129.95,60.885,28.0,4.32,,586.62
0023 Liverpool Hope University Estimated Incoming Antibody Pos,3.01,184.83,6.3,4.255,15.635,2.76,9.84,2.625,1.08,,230.335
0065 Liverpool John Moores University Estimated Incoming Antibody Pos,10.75,843.935,31.675,19.425,69.165,14.49,34.44,13.825,5.52,,1043.225
0209 The Liverpool Institute for Performing Arts Estimated Incoming Antibody Pos,0.645,13.115,2.1,1.85,3.71,1.61,5.535,1.925,0.6,,31.090000000000003
