,Unnamed: 0,Total Regions,Total Regions from lower,Total Regions from upper,North East,North East from lower,North East from upper,North West,North West from lower,North West from upper,Yorkshire and The Humber,Yorkshire and The Humber from lower,Yorkshire and The Humber from upper,East Midlands,East Midlands from lower,East Midlands from upper,West Midlands,West Midlands from lower,West Midlands from upper,East of England,East of England from lower,East of England from upper,London,London from lower,London from upper,South East,South East from lower,South East from upper,South West,South West from lower,South West from upper,Wales,Wales from lower,Wales from upper,Scotland,Scotland from lower,Scotland from upper
23,0113 Brunel University London Estimated Incoming Infection,19.279,12.226500000000005,28.633000000000003,0.0525,0.0225,0.1025,0.5760000000000001,0.408,0.792,0.195,0.10500000000000002,0.315,0.182,0.084,0.322,0.17550000000000002,0.078,0.35100000000000003,0.7515,0.4175,1.336,15.1225,9.8625,21.6975,1.66,0.996,2.656,0.18900000000000006,0.108,0.35100000000000003,0.35,0.14,0.66,0.025,0.005,0.05
24,0009 Buckinghamshire New University Estimated Incoming Infection,17.062000000000005,10.57,26.15,0.126,0.053999999999999986,0.246,2.376,1.683,3.267,0.5589999999999999,0.301,0.903,0.416,0.192,0.7360000000000001,0.7020000000000001,0.312,1.404,0.99,0.55,1.76,8.234000000000002,5.37,11.814,3.075,1.845,4.92,0.22400000000000006,0.128,0.416,0.31499999999999995,0.126,0.5940000000000001,0.045,0.009000000000000001,0.09
25,0203 The University of Buckingham Estimated Incoming Infection,3.0805,1.831,4.8965,0.0315,0.013499999999999998,0.061499999999999985,0.24,0.17,0.33,0.14300000000000002,0.07700000000000001,0.231,0.16899999999999998,0.078,0.29900000000000004,0.117,0.052000000000000005,0.234,0.3195,0.1775,0.5680000000000001,1.0810000000000002,0.705,1.551,0.79,0.474,1.264,0.07700000000000001,0.044,0.14300000000000002,0.0875,0.035,0.165,0.025,0.005,0.05
26,0114 The University of Cambridge Estimated Incoming Infection,22.493000000000002,13.4365,35.48349999999999,0.6825,0.2925,1.3325,4.2,2.975,5.775,1.846,0.994,2.982,0.8775,0.405,1.5525,0.6075,0.27,1.215,2.331,1.295,4.144,7.4060000000000015,4.83,10.626,2.54,1.524,4.064,0.6475,0.37,1.2025,1.05,0.4200000000000001,1.98,0.305,0.06100000000000001,0.61
27,0188 The Institute of Cancer Research Estimated Incoming Infection,0.4320000000000001,0.2735,0.642,0.0,0.0,0.0,0.024,0.017,0.033,0.0,0.0,0.0,0.006500000000000001,0.003,0.011500000000000002,0.0,0.0,0.0,0.013499999999999998,0.0075,0.024,0.322,0.21,0.462,0.045,0.027,0.07200000000000001,0.0035000000000000005,0.002,0.006500000000000001,0.0175,0.007000000000000001,0.033,0.0,0.0,0.0
28,0012 Canterbury Christ Church University Estimated Incoming Infection,17.172,10.542999999999996,26.68,0.0525,0.0225,0.1025,0.384,0.272,0.528,0.13,0.07,0.21,0.13,0.06,0.23,0.07200000000000001,0.032,0.14400000000000002,0.9945,0.5525,1.768,6.21,4.05,8.91,8.955,5.372999999999998,14.328,0.1015,0.058,0.1885,0.1225,0.049,0.231,0.02,0.004,0.04
29,0179 Cardiff University Estimated Incoming Infection,53.0195,24.291000000000004,96.00400000000002,0.189,0.081,0.369,2.952,2.0909999999999997,4.059,0.767,0.413,1.239,0.65,0.3,1.15,1.4129999999999998,0.628,2.826,0.6525,0.3625,1.16,2.9785000000000004,1.9425,4.2735,3.04,1.824,4.864000000000001,2.9925000000000006,1.71,5.5575,37.31,14.924,70.35600000000001,0.075,0.015,0.15
30,0089 Cardiff Metropolitan University Estimated Incoming Infection,24.756,10.554,45.9705,0.0525,0.0225,0.1025,0.72,0.5100000000000001,0.99,0.208,0.11200000000000003,0.336,0.14950000000000002,0.06899999999999999,0.2645,0.4275,0.19,0.855,0.135,0.075,0.24,0.3105,0.2025,0.4455000000000001,0.5,0.3,0.8,1.043,0.596,1.9370000000000005,21.175,8.47,39.93,0.035,0.007000000000000001,0.07
31,0053 The University of Central Lancashire Estimated Incoming Infection,82.26050000000002,57.10300000000001,115.1115,0.4725,0.2025,0.9225,76.2,53.975,104.775,2.366,1.274,3.822,0.4225,0.195,0.7475,0.4275,0.19,0.855,0.26099999999999995,0.145,0.464,0.8165,0.5325,1.1715,0.33,0.198,0.528,0.14700000000000002,0.084,0.273,0.7175,0.28700000000000003,1.3530000000000002,0.1,0.02,0.2
32,0011 University of Chester Estimated Incoming Infection,44.31699999999999,28.5245,66.01100000000001,0.315,0.135,0.6149999999999999,33.336,23.613000000000003,45.837,1.3130000000000002,0.7070000000000001,2.121,0.46799999999999997,0.216,0.828,1.5615,0.6940000000000001,3.123,0.2205,0.1225,0.392,0.483,0.315,0.693,0.285,0.171,0.456,0.14,0.08,0.26,6.16,2.4640000000000004,11.616,0.035,0.007000000000000001,0.07
33,0082 The University of Chichester Estimated Incoming Infection,5.7860000000000005,3.4160000000000004,9.3405,0.042,0.018000000000000002,0.08199999999999999,0.28800000000000003,0.204,0.396,0.13,0.07,0.21,0.1885,0.087,0.3335,0.1035,0.046000000000000006,0.207,0.26099999999999995,0.145,0.464,0.713,0.465,1.023,3.59,2.154,5.744,0.245,0.14,0.455,0.21,0.084,0.396,0.015,0.003,0.03
34,"0115 City, University of London Estimated Incoming Infection",24.5655,15.7155,36.1125,0.0735,0.0315,0.1435,0.768,0.544,1.056,0.208,0.11200000000000003,0.336,0.1885,0.087,0.3335,0.153,0.068,0.306,0.927,0.515,1.648,20.769,13.545,29.799,1.055,0.633,1.6880000000000002,0.14350000000000002,0.08199999999999999,0.2665,0.21,0.084,0.396,0.07,0.014000000000000002,0.14
35,0199 Conservatoire for Dance and Drama Estimated Incoming Infection,1.7245,1.009,2.7415,0.0735,0.0315,0.1435,0.312,0.221,0.429,0.208,0.11200000000000003,0.336,0.0585,0.027,0.1035,0.045,0.02,0.09,0.07200000000000001,0.04,0.128,0.5405000000000001,0.3525,0.7755,0.17,0.102,0.272,0.07,0.04,0.13,0.14,0.056000000000000015,0.264,0.035,0.007000000000000001,0.07
36,0201 Courtauld Institute of Art Estimated Incoming Infection,0.509,0.319,0.772,0.0,0.0,0.0,0.07200000000000001,0.051,0.099,0.013,0.007000000000000001,0.021,0.013,0.006,0.023000000000000003,0.009000000000000001,0.004,0.018000000000000002,0.0225,0.0125,0.04,0.2875,0.1875,0.4125,0.05,0.03,0.08,0.0245,0.014000000000000002,0.0455,0.0175,0.007000000000000001,0.033,0.0,0.0,0.0
37,0056 Coventry University Estimated Incoming Infection,30.0915,16.625500000000002,50.825,0.1995,0.08549999999999999,0.3895,2.3040000000000003,1.632,3.168,1.963,1.0570000000000002,3.1710000000000003,2.5740000000000003,1.188,4.553999999999999,9.0945,4.042,18.189,1.3455,0.7475,2.3920000000000003,9.4875,6.1875,13.6125,1.865,1.119,2.9840000000000004,0.406,0.232,0.754,0.8225,0.3290000000000001,1.551,0.03,0.006,0.06
