,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Total Regions
0079 Teesside University Est. Infectious Incoming,6.1525,0.2695,0.75,0.07600000000000001,0.096,0.10799999999999998,0.1,0.07400000000000001,0.0425,7.6685
0041 Trinity Laban Conservatoire of Music and Dance Est. Infectious Incoming,0.0075,0.0315,0.02,0.02,0.024,0.057,0.1125,0.07400000000000001,0.0475,0.394
0176 University of Wales Trinity Saint David Est. Infectious Incoming,0.0075,0.038500000000000006,0.02,0.02,0.606,0.096,0.56,0.09200000000000001,0.09,1.5300000000000002
0196 University of the Highlands and Islands Est. Infectious Incoming,0.0025,0.0245,0.01,0.004,0.009,0.012,0.015,0.012,0.02,0.109
0185 Ulster University Est. Infectious Incoming,0.0125,0.045500000000000006,0.015,0.01,0.026999999999999996,0.021,0.1425,0.018000000000000002,0.015,0.3065
0149 University College London Est. Infectious Incoming,0.085,0.4655,0.2125,0.20600000000000002,0.381,1.242,5.6825,1.264,0.5025,10.040999999999999
0090 University of South Wales Est. Infectious Incoming,0.025,0.1295,0.0675,0.07,0.273,0.129,0.1175,0.234,0.6875,1.733
0186 The University of Wales (central functions) Est. Infectious Incoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0163 The University of Warwick Est. Infectious Incoming,0.0775,0.5075000000000001,0.2575,0.462,2.061,0.951,1.7325,1.034,0.4925,7.575499999999999
"0081 University of the West of England, Bristol Est. Infectious Incoming",0.0425,0.23450000000000004,0.1125,0.168,0.795,0.39299999999999996,0.525,1.3359999999999999,7.3375,10.943999999999999
0105 The University of the West of Scotland Est. Infectious Incoming,0.0125,0.021,0.01,0.008,0.012,0.021,0.155,0.016,0.0125,0.268
0080 The University of West London Est. Infectious Incoming,0.025,0.0805,0.0475,0.06,0.102,0.294,2.68,0.8340000000000001,0.1325,4.2555000000000005
0083 The University of Westminster Est. Infectious Incoming,0.03,0.1365,0.06,0.07,0.129,0.606,4.3475,0.532,0.125,6.0360000000000005
0021 The University of Winchester Est. Infectious Incoming,0.0125,0.038500000000000006,0.0275,0.052000000000000005,0.09299999999999999,0.27,0.2075,1.756,0.6875,3.1445000000000003
0085 The University of Wolverhampton Est. Infectious Incoming,0.0625,0.196,0.0925,0.258,8.859,0.147,0.2925,0.136,0.165,10.208499999999999
0046 University of Worcester Est. Infectious Incoming,0.015,0.09450000000000001,0.0475,0.10200000000000001,3.7319999999999998,0.15,0.1275,0.17600000000000002,0.6275,5.071999999999999
0189 Writtle University College Est. Infectious Incoming,0.0,0.007000000000000001,0.0075,0.006,0.012,0.243,0.0325,0.042,0.0125,0.36250000000000004
0013 York St John University Est. Infectious Incoming,0.5425,0.43050000000000005,1.6475,0.19400000000000003,0.096,0.141,0.03,0.04,0.03,3.1514999999999995
0164 The University of York Est. Infectious Incoming,0.4625,1.211,1.735,0.484,0.513,1.002,0.675,0.71,0.3075,7.1000000000000005
Total Est. Infectious Incoming,30.045,121.62150000000001,59.19,41.848,87.98100000000001,82.77600000000001,148.1975,87.87200000000001,59.73,719.261
