,MSOA Code,All Ages,geography code,num_students,student_prop
151,E02002636,8289,E02002636,408,0.049221860296778865
152,E02002637,6046,E02002637,297,0.04912338736354615
153,E02002638,5998,E02002638,281,0.046848949649883294
154,E02002639,6110,E02002639,273,0.04468085106382979
155,E02002640,6877,E02002640,348,0.05060346081140032
156,E02002641,8088,E02002641,479,0.05922354104846687
157,E02002642,7119,E02002642,442,0.0620873718218851
158,E02002643,7586,E02002643,430,0.056683364091747956
159,E02002644,7664,E02002644,412,0.05375782881002088
160,E02002645,6047,E02002645,274,0.045311724822225896
161,E02002646,6804,E02002646,305,0.044826572604350384
162,E02002647,7937,E02002647,436,0.05493259417916089
163,E02002648,7180,E02002648,323,0.044986072423398325
164,E02002649,8133,E02002649,377,0.046354358785196115
165,E02002650,8083,E02002650,326,0.04033156006433255
166,E02002651,7877,E02002651,368,0.046718293766662436
167,E02002652,14948,E02002652,555,0.03712871287128713
168,E02002653,8007,E02002653,476,0.059447983014861996
169,E02002654,8097,E02002654,419,0.05174756082499691
170,E02002655,8710,E02002655,471,0.05407577497129736
171,E02002656,4953,E02002656,194,0.03916818090046437
172,E02002657,7176,E02002657,362,0.05044593088071349
173,E02002658,6356,E02002658,312,0.04908747640025173
174,E02002659,10864,E02002659,664,0.06111929307805596
175,E02002660,6709,E02002660,325,0.048442390818303774
176,E02002661,8230,E02002661,352,0.042770352369380316
177,E02002662,6815,E02002662,363,0.05326485693323551
178,E02002663,6966,E02002663,2714,0.38960666092449037
179,E02002664,7019,E02002664,401,0.05713064539108135
180,E02002665,8008,E02002665,680,0.08491508491508491
181,E02002666,9022,E02002666,3271,0.36255819108845044
182,E02002667,7099,E02002667,284,0.04000563459642203
183,E02002668,8424,E02002668,421,0.04997625830959164
184,E02002669,8116,E02002669,1837,0.226343026121242
185,E02002670,7800,E02002670,383,0.049102564102564104
186,E02002671,8819,E02002671,434,0.049211928790112255
187,E02002672,7365,E02002672,336,0.04562118126272913
188,E02002673,7397,E02002673,342,0.04623496011896715
189,E02002674,6469,E02002674,274,0.042355850981604576
190,E02002675,9207,E02002675,566,0.06147496470077115
191,E02002676,7320,E02002676,499,0.06816939890710383
192,E02002677,8353,E02002677,339,0.04058422123787861
193,E02002678,8029,E02002678,364,0.045335658238884045
194,E02002679,7438,E02002679,346,0.046517881150847
195,E02002680,9792,E02002680,691,0.07056781045751634
196,E02002681,8968,E02002681,435,0.04850579839429081
197,E02002682,9473,E02002682,389,0.04106407684999472
198,E02006813,7829,E02006813,366,0.04674926555115596
199,E02002684,9944,E02002684,310,0.031174577634754626
200,E02002685,7851,E02002685,312,0.039740160489109666
201,E02002686,8145,E02002686,346,0.042480049109883365
202,E02002687,5979,E02002687,262,0.04382003679545075
203,E02002688,5533,E02002688,249,0.04500271100668715
204,E02002689,5668,E02002689,236,0.04163726182074806
205,E02002691,8190,E02002691,358,0.04371184371184371
206,E02002692,9079,E02002692,343,0.03777949113338473
207,E02002693,7156,E02002693,249,0.03479597540525433
208,E02002694,12124,E02002694,513,0.042312768063345434
209,E02002695,8305,E02002695,311,0.0374473208910295
210,E02002696,5907,E02002696,267,0.0452006094464195
211,E02002697,7678,E02002697,328,0.04271945819223756
212,E02002698,8505,E02002698,274,0.03221634332745444
213,E02002699,9734,E02002699,449,0.04612697760427368
214,E02002700,6312,E02002700,303,0.04800380228136882
215,E02002701,8424,E02002701,374,0.044396961063627734
216,E02002702,10060,E02002702,419,0.04165009940357853
217,E02002703,8964,E02002703,765,0.0853413654618474
218,E02002704,7127,E02002704,310,0.043496562368457975
219,E02002705,6420,E02002705,295,0.045950155763239874
220,E02002706,7163,E02002706,334,0.04662850760854391
221,E02002707,7331,E02002707,320,0.04365025235302142
222,E02002708,6618,E02002708,1401,0.21169537624660018
223,E02002709,7920,E02002709,274,0.0345959595959596
224,E02002710,7447,E02002710,360,0.04834161407278099
225,E02002711,7630,E02002711,358,0.04692005242463958
226,E02002712,7610,E02002712,292,0.038370565045992115
227,E02002714,7823,E02002714,312,0.039882398057011374
228,E02002715,13503,E02002715,561,0.041546323039324595
229,E02002716,8561,E02002716,349,0.04076626562317486
230,E02002717,7956,E02002717,335,0.042106586224233286
231,E02002718,7959,E02002718,355,0.04460359341625832
232,E02002719,6335,E02002719,266,0.041988950276243095
233,E02002720,7566,E02002720,282,0.03727200634417129
234,E02002721,6417,E02002721,220,0.03428393330216612
235,E02002722,8699,E02002722,323,0.0371307046786987
236,E02002723,8844,E02002723,292,0.033016734509271825
237,E02002724,9758,E02002724,382,0.0391473662635786
238,E02002725,6709,E02002725,258,0.038455805634222684
239,E02006814,8136,E02006814,367,0.045108161258603736
240,E02006891,7702,E02006891,338,0.04388470527135809
241,E02006892,6381,E02006892,265,0.041529540824322204
242,E02002726,10488,E02002726,462,0.044050343249427915
243,E02002727,5516,E02002727,302,0.05474981870920957
244,E02002728,7690,E02002728,373,0.048504551365409626
245,E02002729,5803,E02002729,281,0.04842322936412201
246,E02002730,7549,E02002730,401,0.05311961849251556
247,E02002731,6064,E02002731,321,0.0529353562005277
248,E02002732,7894,E02002732,315,0.03990372434760578
249,E02002733,5748,E02002733,344,0.059846903270702856
250,E02002734,5514,E02002734,225,0.040805223068552776
251,E02002735,5045,E02002735,252,0.04995044598612488
252,E02002736,5994,E02002736,322,0.053720387053720384
253,E02002737,7154,E02002737,351,0.04906346100083869
254,E02002738,6981,E02002738,383,0.054863200114596763
255,E02002739,5828,E02002739,235,0.04032258064516129
256,E02002740,5544,E02002740,262,0.047258297258297256
257,E02002741,9007,E02002741,645,0.0716109692461419
258,E02002742,5592,E02002742,239,0.04273962804005722
